id,word_en,word_fr,example_en
5203,errand,"commission, course, mission","She went on a very quick errand to the post office to send the important letter."
5204,humbly,"humblement, modestement","She humbly acknowledged that she still had a very great deal to learn."
5205,valued,"précieux, estimé, a valorisé","She had always been very highly valued by everyone she had ever worked with."
5206,indulged,"s'est accordé, a cédé à, gâté","She very rarely indulged in self-pity and preferred to keep moving forward."
5207,complaints,"plaintes, réclamations, doléances","She listened very patiently to all the complaints before making her carefully considered response."
5208,swim,"nager, natation, baignade","She loved to swim in the cold sea every morning whatever the weather was like."
5209,gorgeous,"magnifique, superbe, splendide","The old building was absolutely gorgeous in the warm light of the late afternoon."
5210,quote,"citation, devis, citer","She would often quote her favourite poet to illustrate the point she was making."
5211,baggage,"bagages, bagage culturel, préjugés","She travelled with very little baggage and lived a very simple and uncluttered life."
5212,universally,"universellement, de façon générale","She was very universally admired for her extraordinary talent and her great personal integrity."
5213,honours,"honneurs, distinctions, félicite","She received many very great honours for her remarkable contribution to literature."
5214,plead,"plaider, supplier, invoquer","She was asked to plead the case for the preservation of the old library."
5215,lawyers,"avocats, juristes","Several very experienced lawyers attended the most important part of the very long proceedings."
5216,tons,"tonnes, tas","She had read tons of material on the subject before she felt ready to write."
5217,hue,"teinte, couleur, nuance","The old walls of the cottage were painted a very beautiful warm golden hue."
5218,restoration,"restauration, rétablissement","She led the very careful restoration of the magnificent old library building."
5219,devote,"consacrer, dédier","She decided to devote the rest of her long life entirely to her writing."
5220,describing,"décrivant, décrivant","She was very gifted at describing scenes and characters with great vividness."
5221,obstinate,"obstiné, entêté, têtu","She was wonderfully obstinate when it came to maintaining the very highest standards."
5222,revived,"raviva, a revitalisé, s'est ranimé","Her remarkable new book revived interest in a writer who had been long neglected."
5223,rugged,"accidenté, robuste, rude","She had a great love of the wild and rugged landscape of the far north."
5224,fright,"frayeur, peur, fright","She gave everyone a very great fright when she suddenly appeared in the dark doorway."
5225,isolated,"isolé, a isolé","She spent several very isolated months writing her most ambitious and challenging novel."
5226,apples,pommes,"She kept a bowl of fresh red apples on her writing desk throughout the whole autumn."
5227,treason,"trahison, haute trahison","She considered intellectual dishonesty to be a form of treason against the reader."
5228,kissing,"embrassant, qui embrasse","She was kissing her old friend very warmly on both cheeks in greeting."
5229,substitute,"substitut, remplaçant, substituer","There is absolutely no substitute for very hard work and true creative passion."
5230,items,"articles, éléments, points","She checked every single item on the very long list with great care."
5231,conspiracy,"complot, conspiration, conjuration","She uncovered a very elaborate conspiracy to suppress the old and important manuscript."
5232,swing,"balancer, se balancer, élan","She felt the whole project begin to swing very decisively in her favour."
5233,garment,"vêtement, habit","She wore the same simple garment every day while working on her long novel."
5234,celestial,"céleste, divin","She described the music as an absolutely celestial and utterly otherworldly experience."
5235,concentrated,"concentré, a concentré, intensif","She concentrated all her remarkable energy on the single most important task."
5236,swallow,"hirondelle, avaler, ingurgiter","She had to swallow her considerable pride and admit that she had been wrong."
5237,limb,"membre, branche, bord","She went out on a creative limb with the new book and it paid off."
5238,seeks,"cherche, recherche, s'efforce de","She always seeks the truth however uncomfortable or difficult it might be to find."
5239,identification,"identification, identité","Her complete identification with her characters made them feel absolutely vivid and real."
5240,sustain,"soutenir, maintenir, nourrir","She had the extraordinary ability to sustain her creative energy over very long periods."
5241,statesman,"homme d'état, dirigeant","She wrote a very detailed and very sympathetic biography of the great old statesman."
5242,classical,"classique, gréco-romain","She had a very deep love and thorough understanding of all classical literature."
5243,lesser,"moindre, inférieur, moins grand","She never made anyone feel lesser for their lack of formal education."
5244,charities,"œuvres de bienfaisance, associations caritatives","She supported several very important local charities very generously throughout her life."
5245,murderer,"meurtrier, assassin","The old novel featured a very complex and surprisingly sympathetic murderer as its hero."
5246,tracks,"pistes, traces, voies","She followed the old tracks through the forest until she found the hidden cottage."
5247,brandy,"cognac, eau-de-vie","She poured two small glasses of very fine old brandy for the special occasion."
5248,objected,"objecta, a protesté","She objected very clearly and very firmly to the very unfair and unjust proposal."
5249,springing,"jaillissant, bondissant, provenant","She felt new ideas springing up in her mind as she walked through the fields."
5250,preservation,"conservation, préservation","She was a passionate advocate for the preservation of all old books and manuscripts."
5251,onward,"en avant, vers l'avenir","She pressed onward with great determination despite all the very considerable difficulties."
5252,insects,insectes,"She loved to watch the insects moving through the long grass on summer afternoons."
5253,devils,"diables, démons","She worked like the very devils to finish the manuscript before the final deadline."
5254,dirt,"saleté, terre, boue","She was never afraid of getting her hands dirty when there was work to be done."
5255,indulgence,"indulgence, plaisir","She allowed herself the occasional indulgence of a very long afternoon in a bookshop."
5256,embarrassed,"gêné, embarrassé, honteux","She felt deeply embarrassed when her mistake was pointed out so publicly."
5257,interference,"interférence, ingérence, intervention","She resented any form of interference in her carefully planned creative process."
5258,pavement,"trottoir, chaussée","She walked briskly along the wet pavement in the very cold and grey morning."
5259,gradual,"graduel, progressif, lent","The gradual improvement in her health allowed her to return very slowly to writing."
5260,comfortably,"confortablement, aisément","She settled very comfortably into her new role with remarkable speed and natural ease."
5261,pleasantly,"agréablement, aimablement","She was very pleasantly surprised by the extremely warm and generous reception she received."
5262,crest,"crête, sommet, armoiries","She had finally reached the very crest of her long and distinguished literary career."
5263,boards,"planches, conseils d'administration, pensions","She had served on several very important editorial boards throughout her distinguished career."
5264,grip,"prise, emprise, serrer","She maintained a very firm grip on her own creative vision whatever pressure she faced."
5265,doom,"destin tragique, ruine, condamner","She refused to accept any sense of doom and always looked forward with great hope."
5266,dew,"rosée","She loved the fresh smell of morning dew on the grass outside her window."
5267,deaths,"morts, décès","She wrote about deaths with extraordinary tenderness and very great compassionate understanding."
5268,valiant,"vaillant, courageux, brave","She made a very valiant and very determined attempt to finish the work on time."
5269,complicated,"compliqué, complexe, a compliqué","She had a remarkable ability to make even the most complicated subject seem simple."
5270,converse,"converser, s'entretenir, inverse","She loved nothing better than to converse with very interesting and well-read people."
5271,ham,"jambon, cabotin, surjouer","She prepared a simple meal of fresh bread and very good locally cured ham."
5272,respectful,"respectueux, déférent","She was always very respectful of the work of other writers however different from her own."
5273,naught,"zéro, rien, néant","All her efforts came to naught when the old manuscript was suddenly found to be lost."
5274,basin,"bassine, cuvette, bassin","She filled the old stone basin with fresh cold water from the mountain spring."
5275,diminished,"diminua, a réduit, s'est affaibli","Nothing that life had thrown at her had diminished her remarkable creative spirit."
5276,graves,"tombes, sérieux, grave, plus graves","She left fresh flowers on the graves of all the writers she had most admired."
5277,promote,"promouvoir, encourager, avancer","She worked tirelessly to promote the work of younger and less well-known writers."
5278,personage,"personnage, personne importante","She was considered a very important and very distinguished personage in literary circles."
5279,lakes,lacs,"She loved to walk beside the calm and beautiful lakes in the early morning mist."
5280,crowns,"couronnes, couronnes de fleurs","Several ancient crowns were displayed in the very dimly lit museum exhibition room."
5281,miracles,"miracles, prodiges","She believed that great literature was capable of working the most extraordinary miracles."
5282,invested,"investi, a placé, a consacré","She had invested everything she had in the success of her very ambitious project."
5283,storms,"tempêtes, orages, emporte d'assaut","She had weathered many very great storms throughout her long and remarkable life."
5284,snake,"serpent, vipère","She described the politician as a snake in the grass in her very famous essay."
5285,sales,"ventes, soldes","The sales of her new novel exceeded every expectation she had very carefully set."
5286,device,"dispositif, stratagème, procédé","She used irony as a very powerful literary device throughout her most celebrated work."
5287,foreigners,"étrangers, ressortissants étrangers","She was always very welcoming to foreigners and loved to hear their different stories."
5288,dusty,"poussiéreux, fané, ennuyeux","She found the most wonderful old book buried in a very dusty corner of the attic."
5289,misfortunes,"malheurs, infortunes","She bore all her many misfortunes with remarkable and quite extraordinary dignity."
5290,refrain,"refrain, s'abstenir, se retenir","She had to refrain from saying exactly what she thought on several difficult occasions."
5291,efficient,"efficace, compétent, performant","She was one of the most efficient and most organised people anyone had ever known."
5292,primary,"primaire, principal, fondamental","Her primary concern was always the quality and the honesty of her writing."
5293,wickedness,"méchanceté, malveillance, vice","She could not comprehend how anyone could give themselves over to such wickedness."
5294,crush,"broyer, écraser, engouement","She felt a great creative crush on the brilliant writer she had recently discovered."
5295,meets,"rencontre, satisfait, se réunit","She meets every new challenge with the same quiet confidence and firm resolve."
5296,splendor,"splendeur, magnificence","She was deeply moved by the extraordinary splendor of the ancient and beautiful city."
5297,compel,"contraindre, obliger, forcer","Great writing has the power to compel readers to see the world very differently."
5298,slaughter,"massacre, carnage, massacrer","She wrote very movingly about the senseless slaughter of so many young lives."
5299,patriotic,"patriotique, nationaliste","She felt a very deep and genuine patriotic love for her country and its culture."
5300,telegram,"télégramme","She received a very urgent telegram early in the morning with the most important news."
5301,logical,"logique, rationnel","She had a very clear and very precise logical mind that delighted in argument."
5302,restraint,"retenue, modération, contrainte","She showed remarkable restraint in not responding to the very unfair public criticism."
5303,tenth,"dixième, dîme","She published her tenth book to the most universally warm reception of her whole career."
5304,habitual,"habituel, coutumier, d'habitude","She was habitual in her routines and found great comfort and stability in them."
5305,hunter,"chasseur, chercheur","She was a very dedicated hunter of rare and very unusual old books."
5306,especial,"particulier, spécial, exceptionnel","She took especial care over the opening and the closing lines of every work."
5307,axe,"hache, couper","She used her very sharp critical axe to cut through all the unnecessary pretension."
5308,cautious,"prudent, circonspect, méfiant","She was very cautious about making any claim she could not fully and completely support."
5309,discussing,"discutant, en train de débattre","She loved discussing ideas with anyone who shared her passion for literature and truth."
5310,rebels,"rebelles, se rebelle","She rebels very quietly against all forms of received wisdom and conventional thinking."
5311,unique,"unique, exceptionnel, rare","She had a truly unique voice that was immediately and completely recognisable."
5312,scanning,"parcourant, scrutant, numérisant","She was scanning the old bookshelf very quickly looking for a very specific title."
5313,clause,"clause, disposition, proposition","She read every single clause of the very long contract very carefully indeed."
5314,meals,repas,"She prepared very simple and very nourishing meals that she ate at regular intervals."
5315,whispering,"chuchotant, murmurant, bruissant","She heard someone whispering very quietly in the far corner of the old library."
5316,doomed,"condamné, voué à l'échec","The whole enterprise seemed entirely doomed from the very beginning but she persisted."
5317,terrace,"terrasse, balcon, talus","She loved to sit on the old terrace in the evenings watching the sun set."
5318,vainly,"vainement, en vain","She tried vainly to suppress her very great excitement at the wonderful news."
5319,resume,"reprendre, résumé, curriculum vitae","She decided to resume her long-interrupted work on the very important novel."
5320,grove,"bosquet, bois, verger","She walked through the quiet grove of old oak trees thinking carefully."
5321,draught,"courant d'air, ébauche, tirage","She felt a cold draught come under the door of the old stone cottage."
5322,surroundings,"environs, cadre, entourage","She paid very close attention to her surroundings and noticed everything around her."
5323,screen,"écran, paravent, protéger","She used the old garden wall as a very effective screen against the bitter wind."
5324,downward,"vers le bas, descendant","She felt a very sudden downward shift in her mood as the news sank in."
5325,suits,"costumes, convient à, poursuit en justice","She only wears suits when the most formal occasion absolutely requires it."
5326,seizing,"saisissant, s'emparant","She was very quickly seizing on the most interesting and significant detail in the argument."
5327,pleases,"plaît, satisfait, fait plaisir","She writes whatever pleases her and cares nothing for literary fashion."
5328,troublesome,"gênant, difficile, pénible","She handled every troublesome situation with great patience and very calm good humour."
5329,impress,"impressionner, marquer, emprunter de force","She never tried to impress anyone and simply wrote with complete honesty."
5330,serpent,"serpent, vipère","The old legend described a great golden serpent that lived in the deep forest."
5331,endeavor,"effort, entreprise, s'efforcer","She would endeavor to complete the very difficult task before the final deadline."
5332,fortunately,"heureusement, par chance","Fortunately she had made a very careful copy of all her most important work."
5333,roared,"rugit, a grondé, a hurlé","The crowd roared with very enthusiastic approval when she took to the stage."
5334,diseases,"maladies, affections","She wrote with great compassion about the effects of serious diseases on ordinary families."
5335,detach,"détacher, séparer, se déprendre","She was able to detach herself completely from her emotions when she sat down to write."
5336,shrugged,"haussa les épaules, a haussé les épaules","She shrugged her shoulders very calmly and proceeded with what she had been doing."
5337,flattered,"flatté, a flatté","She was very genuinely flattered by the extremely generous and unexpected public praise."
5338,prospects,"perspectives, débouchés, espoirs","The prospects for the new project looked very encouraging and very exciting indeed."
5339,sentimental,"sentimental, attendri","She was not sentimental about her old work and always looked forward not back."
5340,detained,"retenu, arrêté, a gardé","She was briefly detained at the border by officials who did not recognise her."
5341,smote,"frappa, a touché profondément","The beauty of the old music smote her deeply and brought tears to her eyes."
5342,patriotism,"patriotisme, amour du pays","She felt a very deep and genuine patriotism that expressed itself in her writing."
5343,compromise,"compromis, compromettre","She refused to compromise on the things that mattered most to her."
5344,democratic,"démocratique, de la démocratie","She had a very strong and deeply held democratic belief in the rights of all people."
5345,evolution,"évolution, développement","She traced the evolution of her own very distinctive style with great honesty."
5346,consistent,"cohérent, constant, uniforme","She was entirely consistent in her very high standards throughout her whole long career."
5347,throws,"jette, lance, provoque","She throws herself into every new project with an extraordinary and infectious enthusiasm."
5348,actor,"acteur, comédien","She described herself as a very reluctant actor on the very large stage of public life."
5349,competition,"concours, compétition, concurrence","She entered the important writing competition with a very strong and very original piece."
5350,shepherd,"berger, gardien, guider","She saw her role as that of a shepherd guiding younger writers through the difficulty."
5351,revolver,"revolver, pistolet","The old detective story featured a very mysterious revolver found at the scene."
5352,argue,"argumenter, débattre, soutenir","She could argue her position with extraordinary precision and very great clarity."
5353,flows,"coule, découle, circule","Her prose flows with a very natural and very beautiful ease that is quite remarkable."
5354,rely,"compter sur, se fier à","She could always rely on her very deepest instincts when the time came to write."
5355,bee,"abeille, travailleur, concours","She was as busy as a bee from the very first moment of every single morning."
5356,remorse,"remords, regrets","She felt a deep and lasting remorse for the harsh and unkind words she had spoken."
5357,dimly,"faiblement, vaguement, confusément","She could dimly make out the shape of the old building through the thick fog."
5358,tempest,"tempête, tumulte, orage","She weathered every tempest that life could throw at her with extraordinary courage."
5359,benefits,"avantages, bénéfices, profite","She always considers how her work benefits those who will eventually read it."
5360,reeds,"roseaux, anches","She loved the sound of the wind moving through the tall reeds beside the river."
5361,stress,"stress, tension, insistance, accentuer","She always tried to minimise the stress associated with any major new project."
5362,associations,"associations, liens, idées connexes","She had very strong and very positive associations with the old city of her birth."
5363,destroying,"détruisant, en train de détruire","She feared she was destroying all the most important work by being too self-critical."
5364,horsemen,"cavaliers, hommes à cheval","Several very fine horsemen rode through the old village at the break of dawn."
5365,saluted,"salua, a salué, a rendu hommage","She saluted all the great writers who had inspired and encouraged her."
5366,detached,"détaché, indépendant, objectif","She maintained a very cool and quite detached perspective on her own work."
5367,plane,"plan, avion, raboter, platane","She took a very early morning plane to attend the most important literary conference."
5368,voluntary,"volontaire, bénévole, facultatif","Her voluntary work for the local literacy charity was a very great source of joy."
5369,relates,"relate, concerne, s'identifie à","She relates to all her characters with a very deep and genuine human sympathy."
5370,prodigious,"prodigieux, énorme, extraordinaire","She had a truly prodigious memory for every poem she had ever read."
5371,greet,"saluer, accueillir","She always managed to greet every single visitor with genuine warmth and pleasure."
5372,removing,"enlevant, supprimant, retirant","She was carefully removing the old dust covers from the beautiful antique furniture."
5373,dragging,"traînant, tirant avec peine","She was dragging herself through the final pages of the very long difficult manuscript."
5374,sweat,"sueur, transpiration, suer","She worked up a great sweat climbing the very steep and rocky hillside."
5375,deceased,"décédé, défunt, le défunt","She wrote a very moving tribute to her recently deceased and greatly beloved mentor."
5376,eighteenth,"dix-huitième","She had a very deep interest in the literature and culture of the eighteenth century."
5377,shadowy,"ombrageux, sombre, obscur","Several shadowy figures moved quietly through the dark and deserted old streets."
5378,lays,"pose, couche, pond","She lays the foundation for her argument very carefully in the very opening pages."
5379,contemplated,"envisagea, a médité","She contemplated the very difficult decision for several long and sleepless nights."
5380,resemble,"ressembler, avoir l'air","She was said to resemble her very gifted and remarkable grandmother in every way."
5381,imprisoned,"emprisonné, enfermé, incarcéré","She wrote very movingly about those who were unjustly imprisoned for their beliefs."
5382,resolute,"résolu, déterminé, ferme","She was absolutely resolute in her determination to finish the work before the deadline."
5383,framed,"encadré, formulé, a encadré","She carefully framed her very important argument in the clearest possible terms."
5384,covers,"couvertures, couvre, s'étend sur","Her new book covers an extraordinarily wide range of very interesting subjects."
5385,ties,"liens, attaches, cravates, attache","She has very strong ties to the small community where she grew up."
5386,rob,"voler, dépouiller, priver","She would never rob anyone of their dignity however difficult the situation became."
5387,patent,"brevet, évident, breveter","It was absolutely patent to everyone that she was by far the most gifted."
5388,recovery,"rétablissement, récupération, reprise","Her full recovery from the long illness took several months of very careful rest."
5389,restrained,"retenu, mesuré, a retenu","She was very restrained in her public comments about the very controversial matter."
5390,delights,"délices, plaisirs, enchante","She takes great delight in sharing her very considerable knowledge with all others."
5391,trivial,"trivial, insignifiant, sans importance","She refused to waste her very precious time on anything trivial or unimportant."
5392,mare,jument,"The old mare grazed very contentedly in the lush green field beside the stream."
5393,effectually,"efficacement, de façon effective","She managed effectually to silence all her critics with her brilliant new book."
5394,hearth,"foyer, âtre, cheminée","She sat beside the old hearth and read until the very last embers died."
5395,roofs,"toits, combles","She could see the old grey roofs of the ancient city from the high hill."
5396,conclusions,"conclusions, déductions","She always drew her very careful conclusions from all the available evidence."
5397,warlike,"belliqueux, guerrier, martial","She was not by nature a warlike person and always preferred the diplomatic approach."
5398,vigour,"vigueur, énergie, dynamisme","She attacked every new project with extraordinary vigour and very great enthusiasm."
5399,rapidity,"rapidité, vitesse, promptitude","She worked with great rapidity without ever sacrificing quality or care."
5400,painfully,"douloureusement, péniblement","She was painfully aware of every single shortcoming in her otherwise excellent work."
5401,diplomatic,"diplomatique, habile, adroit","She had a very diplomatic way of saying very difficult things without giving offence."
5402,discoveries,"découvertes, trouvailles","She made several very important discoveries during her long research in the old archives."
5403,joyful,"joyeux, plein de joie","It was a truly joyful and very wonderful occasion celebrated by all who attended."
5404,inasmuch,"dans la mesure où, vu que","She agreed to the proposal inasmuch as it did not compromise her principles."
5405,detailed,"détaillé, minutieux, a détaillé","She produced the most detailed and the most thoroughly researched account of the events."
5406,obstacle,"obstacle, difficulté, entrave","She treated every obstacle as a very interesting problem waiting to be solved."
5407,sheltered,"abrité, protégé, a abrité","She had always lived a rather sheltered life before her great adventures began."
5408,eastward,"vers l'est, en direction de l'est","She set off very early eastward in search of the ancient and remote monastery."
5409,scared,"effrayé, apeuré, a fait peur","She was genuinely scared by the unexpectedly hostile reaction to her new work."
5410,travels,"voyages, se déplace, voyage","Her travels through many distant countries provided rich material for her remarkable writing."
5411,beams,"poutres, rayons, rayonne","The warm morning sunlight beams through the old window onto her writing desk."
5412,downstairs,"en bas, au rez-de-chaussée","She heard someone moving very quietly downstairs in the middle of the night."
5413,diameter,"diamètre, largeur","The old oak tree had a trunk of truly extraordinary diameter and great beauty."
5414,disposal,"disposition, élimination","She had a very large collection of old books entirely at her disposal."
5415,motions,"mouvements, gestes, motions","She went through the very familiar motions of her early morning writing routine."
5416,supernatural,"surnaturel, paranormal","She was fascinated by all forms of supernatural and unexplained phenomena."
5417,embarrassment,"embarras, gêne, honte","She felt a very deep embarrassment when her very private journal was accidentally found."
5418,hail,"grêle, salve, saluer, grêler","She was greeted with a very warm hail of enthusiastic and sustained applause."
5419,armour,"armure, blindage","She used her very calm exterior as a kind of invisible armour against criticism."
5420,foundations,"fondations, bases, fondements","She built the very strong foundations of her remarkable career very early indeed."
5421,pretext,"prétexte, motif fallacieux","She could find absolutely no acceptable pretext for delaying the very important work."
5422,carelessly,"négligemment, sans soin","She had carelessly left the most important document on the bench in the park."
5423,tedious,"ennuyeux, fastidieux, monotone","She never found any subject truly tedious and always discovered something of interest."
5424,northward,"vers le nord, en direction du nord","She walked steadily northward along the very old and beautiful coastal path."
5425,wagons,"wagons, chariots, charrettes","Several heavily loaded wagons made their very slow way along the muddy old track."
5426,decorated,"décoré, orné, a décoré","She decorated her small study with only a few very carefully chosen pictures."
5427,sway,"balancement, oscillation, influence, osciller","She had an extraordinary sway over her readers that few other writers possessed."
5428,bravely,"courageusement, bravement","She bravely faced all the very harsh and very unfair criticism of her work."
5429,pilot,"pilote, guide, essai, piloter","She decided to pilot the very new and experimental approach with a small group."
5430,majestic,"majestueux, imposant, grandiose","The view from the old tower was truly majestic and quite breathtakingly beautiful."
5431,admiring,"admiratif, en admiration, admirant","She received many very warm and admiring letters from readers all over the world."
5432,controversy,"controverse, polémique","She was never afraid of controversy when she believed strongly in her position."
5433,rendering,"rendu, interprétation, rendant","She produced a very beautiful rendering of the old poem in her own language."
5434,tasted,"goûta, a goûté, avait le goût","She tasted the warm soup and added a pinch more salt and pepper."
5435,lighter,"plus léger, briquet, allège","She felt considerably lighter in spirit after sharing her very great worries with a friend."
5436,hurled,"lança, a jeté","She hurled herself into the very challenging new project with extraordinary energy."
5437,goodly,"beau, considérable, de belle taille","She had accumulated a goodly number of very rare and very precious old books."
5438,courteous,"courtois, poli, aimable","She was always unfailingly courteous to absolutely everyone she ever encountered."
5439,excepting,"excepté, à l'exception de","Everyone agreed with her proposal excepting the one member who always disagreed."
5440,coffin,"cercueil, bière","She described the feeling of writer's block as lying in a creative coffin."
5441,envelope,"enveloppe, envelopper","She sealed the very important letter in a plain brown envelope and posted it."
5442,controlled,"contrôlé, maîtrisé, a contrôlé","She remained very controlled and completely calm throughout the most difficult ordeal."
5443,sensations,"sensations, impressions, sentiments","She described physical sensations with extraordinary precision and great vividness."
5444,contribute,"contribuer, participer, apporter","She was always very happy to contribute her time and her talent to good causes."
5445,detective,"détective, policier","She wrote a very successful and widely praised series of detective novels."
5446,keenly,"vivement, ardemment, avec acuité","She was very keenly aware of every subtle change in the atmosphere around her."
5447,fits,"convulsions, accès, convient, s'adapte","She fits every word she uses with very great care into precisely the right place."
5448,parole,"liberté conditionnelle, parole","He was released on parole after serving half of the long sentence."
5449,perceiving,"percevant, remarquant","She was extraordinarily good at perceiving the hidden meaning behind the spoken words."
5450,humility,"humilité, modestie","She received all the many great honours she was given with very genuine humility."
5451,energetic,"énergique, dynamique, actif","She was one of the most energetic and most enthusiastic people anyone had ever known."
5452,steward,"intendant, steward, régisseur","The faithful old steward had managed the estate with great skill for forty years."
5453,dining,"dînant, salle à manger, de restaurant","She loved dining with very interesting and very well-read people whenever she could."
5454,withered,"flétri, desséché, a dépéri","The old withered rose still retained a very faint but beautiful trace of its scent."
5455,wrongs,"torts, injustices, préjudices","She had dedicated her whole life to righting the wrongs she saw around her."
5456,regulations,"règlements, réglementations","She followed all the official regulations very carefully and always acted in accordance."
5457,requisite,"requis, nécessaire, condition requise","She ensured that all the requisite documents were in very good order."
5458,enlarged,"agrandi, élargi, a développé","She greatly enlarged her already considerable knowledge during her years of travel."
5459,expert,"expert, spécialiste, habile","She was widely regarded as the foremost expert in her very particular field."
5460,gratified,"satisfait, content, a gratifié","She was deeply gratified by the very warm and the very generous public response."
5461,obstacles,"obstacles, difficultés, entraves","She had overcome many very great obstacles to reach the position she now held."
5462,plantation,"plantation, domaine","The old story was set on a very large and very remote plantation."
5463,perilous,"périlleux, dangereux, risqué","She embarked on the most perilous and most exciting journey of her whole life."
5464,losses,"pertes, déficits","She had suffered many very great losses but never allowed them to defeat her."
5465,oppression,"oppression, persécution, répression","She had spent her entire career speaking out very loudly against all forms of oppression."
5466,secondary,"secondaire, de second rang","She never treated any aspect of her work as merely secondary or unimportant."
5467,honored,"honoré, a honoré","She was very deeply honored to receive the most prestigious award of her career."
5468,ink,"encre, encrer","She preferred to write by hand and kept a very beautiful old bottle of ink."
5469,boughs,"branches, rameaux","The heavy boughs of the old apple tree swept the ground of the quiet garden."
5470,pearls,perles,"She wore a simple strand of very beautiful old pearls to the important ceremony."
5471,frost,"gel, gelée, givre","A heavy frost had covered the whole garden with a beautiful white shimmering blanket."
5472,assistant,"assistant, aide, adjoint","She was very well supported by a highly efficient and completely devoted assistant."
5473,definition,"définition, netteté, précision","She was a writer of definition and her meaning was never unclear or ambiguous."
5474,expressly,"expressément, explicitement","She had expressly requested that no personal questions be asked at the reading."
5475,amounted,"s'éleva à, équivalait à","Her life's work amounted to one of the greatest literary achievements of the century."
5476,coward,"lâche, peureux","She was no coward and always said exactly what she thought however difficult it was."
5477,gleaming,"brillant, luisant, étincelant","The old silver pen lay gleaming in the pale light of the winter morning."
5478,offspring,"descendance, enfants, rejeton","She considered all her books to be the very dearest offspring of her creative mind."
5479,expend,"dépenser, consacrer, utiliser","She refused to expend any energy on things that were beyond her control."
5480,kin,"famille, proches, parenté","She felt a very deep sense of kinship with all fellow lovers of literature."
5481,horrors,"horreurs, atrocités","She described the horrors of the conflict with great precision and great compassion."
5482,fulfil,"accomplir, réaliser, remplir","She was determined to fulfil every single one of the promises she had made."
5483,fortified,"fortifié, renforcé, a fortifié","She fortified herself with a strong cup of tea before beginning the difficult task."
5484,worried,"inquiet, soucieux, a inquiété","She was very worried about the welfare of her oldest and dearest friend."
5485,praises,"louanges, éloges, loue","She always sings the praises of the writers who first inspired her to write."
5486,tended,"tendait, avait tendance, a soigné","She tended all her plants with the same great care she gave to her prose."
5487,prophecy,"prophétie, prédiction","Her early assessment of the situation proved to be something of a prophecy."
5488,explaining,"expliquant, clarifiant","She spent a long time patiently explaining her position to those who disagreed."
5489,louder,"plus fort, plus bruyant","The applause grew steadily louder as she delivered the most important part of her speech."
5490,cells,"cellules, cellules de prison, alvéoles","She explored the quiet cells of the ancient monastery with great reverence."
5491,exaggerated,"exagéré, a exagéré, outré","The critics had greatly exaggerated the difficulties of understanding her new work."
5492,cellar,"cave, sous-sol, cellier","She discovered a magnificent collection of old wines in the cellar of the ancient house."
5493,apology,"excuse, regrets, apologie","She offered a very sincere and very heartfelt apology for the misunderstanding."
5494,behave,"se comporter, agir, se conduire","She always behaved with complete integrity in every public and private situation."
5495,transformed,"transformé, a transformé","The experience of living abroad completely transformed her view of her own country."
5496,strings,"cordes, ficelles, contraintes","She could always pull the right strings to get the very best outcome."
5497,roughly,"grossièrement, approximativement, environ","The old manuscript was roughly five hundred years old according to the expert."
5498,pipes,"tuyaux, pipes, canalisations","She could hear the sound of old pipes creaking in the cold winter night."
5499,stationed,"stationné, posté, affecté","She was stationed at the most remote part of the very large research library."
5500,settling,"réglant, s'installant, établissant","She was slowly settling into the quiet routine of her very new and peaceful life."
5501,strive,"s'efforcer, lutter, viser","She would always strive for the very highest possible standard in everything she did."
5502,resignation,"résignation, démission","She accepted the very difficult situation with remarkable resignation and great quiet grace."
5503,proprietor,"propriétaire, patron, exploitant","The old proprietor of the small bookshop had known her since she was a child."
5504,borrow,"emprunter, prendre, s'inspirer","She had to borrow several very important books from the university library."
5505,impressive,"impressionnant, imposant","She gave the most impressive and the most powerful speech anyone had ever heard."
5506,democracy,"démocratie","She believed very passionately in the fundamental values of democracy and equal rights."
5507,traitor,"traître, traitre","She would never betray her principles and could never be called a traitor to her ideals."
5508,amazing,"incroyable, étonnant, stupéfiant","She had an amazing ability to find the very best in every difficult situation."
5509,meadow,"prairie, pré","She loved to sit in the wide green meadow and watch the clouds drift by."
5510,prophets,"prophètes","She admired the ancient prophets for their very great courage and their remarkable vision."
5511,ammunition,"munitions, arguments","She gathered all the necessary ammunition of facts and evidence before making her case."
5512,employee,"employé, salarié","She was considered the most valued and most committed employee the organisation had known."
5513,quest,"quête, recherche","She was on a lifelong quest for the very deepest possible truth in all things."
5514,intensely,"intensément, profondément, vivement","She was intensely focused on every single detail of the very important new project."
5515,expedient,"opportun, commode, expédient","She chose the most expedient route through the very complex and difficult negotiation."
5516,joining,"rejoignant, adhérant, assemblant","She was joining a very small and very select group of truly outstanding writers."
5517,bounded,"bondissait, délimité, limité","She bounded up the stairs with extraordinary energy and enthusiasm."
5518,identity,"identité, personnalité","She had a very strong and very clear sense of her own creative identity."
5519,legislature,"législature, parlement","She followed all the proceedings of the legislature very carefully indeed."
5520,fragrant,"parfumé, odorant, agréable","The old garden was wonderfully fragrant on warm and quiet summer evenings."
5521,mute,"muet, silencieux, sourdine, rendre muet","She remained completely mute when asked to comment on the very controversial matter."
5522,shrank,"rétrécit, se ratatina, a reculé","She shrank from any form of public attention or unnecessary personal publicity."
